region,state
Region10,AK
Region10,ID
Region10,OR
Region10,WA
Region09,AZ
Region09,CA
Region09,HI
Region09,NV
Region08,CO
Region08,MT
Region08,ND
Region08,SD
Region08,UT
Region08,WY
Region07,IA
Region07,KS
Region07,MO
Region07,NE
Region06,AR
Region06,LA
Region06,NM
Region06,OK
Region06,TX
Region05,WI
Region05,IL
Region05,IN
Region05,MI
Region05,MN
Region05,OH
Region04,AL
Region04,FL
Region04,GA
Region04,KY
Region04,MS
Region04,NC
Region04,SC
Region04,TN
Region03,DE
Region03,DC
Region03,MD
Region03,PA
Region03,VA
Region03,WV
Region02,NJ
Region02,NY
Region01,CT
Region01,ME
Region01,MA
Region01,NH
Region01,RI
Region01,VT
NA,NA
